    Table 2: "FIGURE 11: Adelaide Industrial investment sales 2014–2025 (greater than AUD 5 million)" (confidence: 1.00)
    Preview:
|     Year | East | Outer North | South | North | Non-Metro | North West | South West | West | Total | 10-year Average |
|---------:|-----:|------------:|------:|------:|----------:|-----------:|-----------:|-----:|------:|----------------:|
|     2014 | 0.00 |        0.11 |  0.00 |  0.00 |      0.00 |       0.07 |       0.00 | 0.00 |  0.18 |            0.45 |
|     2015 | 0.00 |        0.00 |  0.01 |  0.00 |      0.00 |       0.10 |       0.00 | 0.08 |  0.19 |            0.45 |
|     2016 | 0.00 |        0.05 |  0.00 |  0.00 |      0.00 |       0.02 |       0.00 | 0.00 |  0.07 |            0.45 |
|     2017 | 0.00 |        0.07 |  0.02 |  0.00 |      0.00 |       0.21 |       0.00 | 0.01 |  0.31 |            0.45 |
|     2018 | 0.02 |        0.14 |  0.00 |  0.00 |      0.16 |       0.03 |       0.00 | 0.03 |  0.38 |            0.45 |
|     2019 | 0.00 |        0.14 |  0.00 |  0.00 |      0.00 |       0.17 |       0.00 | 0.02 |  0.33 |            0.45 |
|     2020 | 0.00 |        0.10 |  0.00 |  0.00 |      0.00 |       0.12 |       0.01 | 0.07 |  0.30 |            0.45 |
|     2021 | 0.01 |        0.54 |  0.00 |  0.00 |      0.00 |       0.25 |       0.00 | 0.29 |  1.09 |            0.45 |
|     2022 | 0.04 |        0.25 |  0.03 |  0.00 |      0.00 |       0.34 |       0.00 | 0.07 |  0.73 |            0.45 |
|     2023 | 0.00 |        0.34 |  0.00 |  0.00 |      0.00 |       0.11 |       0.00 | 0.06 |  0.51 |            0.45 |
|     2024 | 0.02 |        0.19 |  0.00 |  0.02 |      0.00 |       0.10 |       0.02 | 0.14 |  0.49 |            0.45 |
| 2025 YTD | 0.01 |        0.02 |  0.00 |  0.08 |      0.00 |       0.11 |       0.00 | 0.03 |  0.25 |            0.45 |
