Year,East,Non-Metro,North West,Outer North,South,West,North,10-year Average
2014,0.02,0.00,0.00,0.06,0.05,0.06,0.00,0.00
2015,0.00,0.00,0.00,0.09,0.07,0.05,0.00,0.00
2016,0.00,0.00,0.00,0.07,0.06,0.05,0.00,0.00
2017,0.21,0.00,0.00,0.03,0.05,0.06,0.00,0.00
2018,0.02,0.00,0.00,0.05,0.04,0.05,0.00,0.00
2019,0.18,0.17,0.17,0.16,0.03,0.02,0.00,0.00
2020,0.00,0.00,0.00,0.03,0.05,0.06,0.00,0.00
2021,0.00,0.00,0.00,0.25,0.61,0.67,0.67,0.00
2022,0.05,0.00,0.00,0.05,0.05,0.00,0.00,0.00
2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
